platform,height_mm,tower,axis,error_mm,cam_error
Isaac Sim,100,12,X,-0.73,-0.500
Isaac Sim,100,12,Y,0.85,0.571
Isaac Sim,100,12,Z,-1.32,-1.258
Isaac Sim,100,17,X,0.03,0.269
Isaac Sim,100,17,Y,0.72,0.441
Isaac Sim,100,17,Z,-0.72,-0.608
Isaac Sim,100,22,X,-0.03,0.200
Isaac Sim,100,22,Y,1.43,1.151
Isaac Sim,100,22,Z,-1.83,-1.708
Isaac Sim,100,27,X,0.26,0.499
Isaac Sim,100,27,Y,1.44,1.158
Isaac Sim,100,27,Z,-0.83,-0.708
Isaac Sim,150,12,X,-0.50,-0.270
Isaac Sim,150,12,Y,0.90,0.678
Isaac Sim,150,12,Z,-0.55,-0.728
Isaac Sim,150,17,X,-0.02,0.208
Isaac Sim,150,17,Y,0.80,0.523
Isaac Sim,150,17,Z,0.58,0.197
Isaac Sim,150,22,X,-0.13,0.093
Isaac Sim,150,22,Y,0.75,0.538
Isaac Sim,150,22,Z,-1.02,-1.203
Isaac Sim,150,27,X,-0.24,-0.037
Isaac Sim,150,27,Y,0.54,0.262
Isaac Sim,150,27,Z,-0.16,0.047
Isaac Sim,200,12,X,-0.44,-0.216
Isaac Sim,200,12,Y,0.90,0.618
Isaac Sim,200,12,Z,-0.55,-0.628
Isaac Sim,200,17,X,-0.28,-0.057
Isaac Sim,200,17,Y,0.98,0.701
Isaac Sim,200,17,Z,1.25,0.997
Isaac Sim,200,22,X,-0.24,-0.015
Isaac Sim,200,22,Y,0.60,0.324
Isaac Sim,200,22,Z,-1.46,-1.653
Isaac Sim,200,27,X,-0.61,-0.382
Isaac Sim,200,27,Y,0.83,0.648
Isaac Sim,200,27,Z,1.52,1.297
Isaac Sim,250,12,X,-0.44,-0.214
Isaac Sim,250,12,Y,0.40,0.208
Isaac Sim,250,12,Z,2.12,1.894
Isaac Sim,250,17,X,-0.07,0.158
Isaac Sim,250,17,Y,0.61,0.380
Isaac Sim,250,17,Z,0.28,0.244
Isaac Sim,250,22,X,-0.42,-0.195
Isaac Sim,250,22,Y,0.50,0.326
Isaac Sim,250,22,Z,-0.22,-0.406
Isaac Sim,250,27,X,-0.93,-0.697
Isaac Sim,250,27,Y,0.91,0.760
Isaac Sim,250,27,Z,1.74,1.594
Isaac Sim,300,12,X,-0.86,-0.744
Isaac Sim,300,12,Y,1.08,0.899
Isaac Sim,300,12,Z,-0.20,-0.249
Isaac Sim,300,17,X,-0.67,-0.470
Isaac Sim,300,17,Y,1.10,0.925
Isaac Sim,300,17,Z,1.23,1.151
Isaac Sim,300,22,X,-0.46,-0.233
Isaac Sim,300,22,Y,0.89,0.659
Isaac Sim,300,22,Z,1.81,1.601
Isaac Sim,300,27,X,-1.27,-1.029
Isaac Sim,300,27,Y,1.15,0.933
Isaac Sim,300,27,Z,2.14,1.951
