platform,height_mm,tower,axis,error_mm,cam_error
MoveIt 2,100,12,X,-0.61,-0.440
MoveIt 2,100,12,Y,0.79,0.621
MoveIt 2,100,12,Z,-0.60,-0.861
MoveIt 2,100,17,X,0.00,0.208
MoveIt 2,100,17,Y,0.57,0.317
MoveIt 2,100,17,Z,-0.58,-0.058
MoveIt 2,100,22,X,-0.01,-0.009
MoveIt 2,100,22,Y,1.35,1.342
MoveIt 2,100,22,Z,-2.28,-2.040
MoveIt 2,100,27,X,0.15,0.327
MoveIt 2,100,27,Y,1.38,1.061
MoveIt 2,100,27,Z,-1.02,-0.904
MoveIt 2,150,12,X,-0.55,-0.340
MoveIt 2,150,12,Y,0.96,0.771
MoveIt 2,150,12,Z,-1.18,-1.346
MoveIt 2,150,17,X,-0.12,0.159
MoveIt 2,150,17,Y,0.49,0.417
MoveIt 2,150,17,Z,-0.31,-0.125
MoveIt 2,150,22,X,-0.43,-0.191
MoveIt 2,150,22,Y,0.69,0.314
MoveIt 2,150,22,Z,-2.52,-2.291
MoveIt 2,150,27,X,-0.64,-0.405
MoveIt 2,150,27,Y,0.30,0.193
MoveIt 2,150,27,Z,0.82,0.373
MoveIt 2,200,12,X,-0.45,-0.363
MoveIt 2,200,12,Y,1.06,0.964
MoveIt 2,200,12,Z,-0.65,-0.853
MoveIt 2,200,17,X,-0.44,-0.135
MoveIt 2,200,17,Y,0.56,0.317
MoveIt 2,200,17,Z,1.69,1.677
MoveIt 2,200,22,X,-0.35,-0.314
MoveIt 2,200,22,Y,0.72,0.443
MoveIt 2,200,22,Z,-0.96,-0.668
MoveIt 2,200,27,X,-0.70,-0.915
MoveIt 2,200,27,Y,0.54,0.373
MoveIt 2,200,27,Z,0.63,0.574
MoveIt 2,250,12,X,-0.69,-0.435
MoveIt 2,250,12,Y,0.90,0.776
MoveIt 2,250,12,Z,-0.54,-0.243
MoveIt 2,250,17,X,-0.60,-0.326
MoveIt 2,250,17,Y,0.61,0.277
MoveIt 2,250,17,Z,1.21,1.257
MoveIt 2,250,22,X,-0.80,-0.604
MoveIt 2,250,22,Y,0.77,0.623
MoveIt 2,250,22,Z,-0.76,-0.802
MoveIt 2,250,27,X,-1.28,-1.086
MoveIt 2,250,27,Y,1.18,0.791
MoveIt 2,250,27,Z,1.80,1.729
MoveIt 2,300,12,X,-0.82,-0.669
MoveIt 2,300,12,Y,1.13,0.824
MoveIt 2,300,12,Z,0.45,0.674
MoveIt 2,300,17,X,-0.98,-0.554
MoveIt 2,300,17,Y,0.72,0.457
MoveIt 2,300,17,Z,2.75,2.401
MoveIt 2,300,22,X,-1.05,-0.718
MoveIt 2,300,22,Y,0.76,0.522
MoveIt 2,300,22,Z,0.53,0.353
MoveIt 2,300,27,X,-1.93,-1.665
MoveIt 2,300,27,Y,0.53,0.580
MoveIt 2,300,27,Z,3.79,3.247
