platform,height_mm,tower,axis,error_mm,cam_error
UR Polyscope,100,12,X,-0.66,-0.423
UR Polyscope,100,12,Y,0.93,0.654
UR Polyscope,100,12,Z,-0.69,-0.845
UR Polyscope,100,17,X,-0.05,0.183
UR Polyscope,100,17,Y,0.60,0.312
UR Polyscope,100,17,Z,-0.11,-0.095
UR Polyscope,100,22,X,-0.05,0.005
UR Polyscope,100,22,Y,1.34,1.271
UR Polyscope,100,22,Z,-1.74,-2.045
UR Polyscope,100,27,X,0.11,0.344
UR Polyscope,100,27,Y,1.35,1.062
UR Polyscope,100,27,Z,-0.65,-0.945
UR Polyscope,150,12,X,-0.59,-0.354
UR Polyscope,150,12,Y,0.90,0.819
UR Polyscope,150,12,Z,-0.99,-1.350
UR Polyscope,150,17,X,-0.03,0.204
UR Polyscope,150,17,Y,0.48,0.368
UR Polyscope,150,17,Z,-0.13,-0.100
UR Polyscope,150,22,X,-0.44,-0.208
UR Polyscope,150,22,Y,0.67,0.385
UR Polyscope,150,22,Z,-2.16,-2.300
UR Polyscope,150,27,X,-0.62,-0.383
UR Polyscope,150,27,Y,0.39,0.209
UR Polyscope,150,27,Z,0.63,0.400
UR Polyscope,200,12,X,-0.51,-0.336
UR Polyscope,200,12,Y,1.04,0.976
UR Polyscope,200,12,Z,-0.63,-0.853
UR Polyscope,200,17,X,-0.31,-0.133
UR Polyscope,200,17,Y,0.51,0.315
UR Polyscope,200,17,Z,1.68,1.647
UR Polyscope,200,22,X,-0.54,-0.300
UR Polyscope,200,22,Y,0.65,0.458
UR Polyscope,200,22,Z,-0.70,-0.603
UR Polyscope,200,27,X,-0.83,-0.937
UR Polyscope,200,27,Y,0.51,0.346
UR Polyscope,200,27,Z,0.74,0.547
UR Polyscope,250,12,X,-0.61,-0.394
UR Polyscope,250,12,Y,0.91,0.768
UR Polyscope,250,12,Z,-0.17,-0.200
UR Polyscope,250,17,X,-0.55,-0.321
UR Polyscope,250,17,Y,0.50,0.309
UR Polyscope,250,17,Z,1.06,1.250
UR Polyscope,250,22,X,-0.83,-0.595
UR Polyscope,250,22,Y,0.73,0.646
UR Polyscope,250,22,Z,-0.65,-0.850
UR Polyscope,250,27,X,-1.15,-1.092
UR Polyscope,250,27,Y,1.10,0.766
UR Polyscope,250,27,Z,1.64,1.700
UR Polyscope,300,12,X,-0.92,-0.679
UR Polyscope,300,12,Y,1.14,0.845
UR Polyscope,300,12,Z,0.69,0.658
UR Polyscope,300,17,X,-0.79,-0.547
UR Polyscope,300,17,Y,0.73,0.436
UR Polyscope,300,17,Z,2.33,2.408
UR Polyscope,300,22,X,-0.99,-0.741
UR Polyscope,300,22,Y,0.71,0.592
UR Polyscope,300,22,Z,0.50,0.308
UR Polyscope,300,27,X,-1.94,-1.680
UR Polyscope,300,27,Y,0.48,0.582
UR Polyscope,300,27,Z,3.52,3.308
